;직무내용;모집직종;관련직종;전공;자격면허;외국어능력;병역대체 복무자채용;고용허가제;우대조건;컴퓨터 활용능력;기타우대사항;작업환경;sqlp;a;b;c;d;e;f;g;h;i
    - 관련 학과 전공자
▣ 제출서류 : 이력서, 자기소개서 제출, 포트폴리오 첨부 필수(본인이 작업한 교재 원고 및 기타 자료)";범용응용소프트웨어프로그래머(ERP,정보처리,재무관리등);;응용소프트웨어공학(학과:멀티미디어소프트웨어공학전공)공학교육(학과:컴퓨터교육과);정보처리기사(우대),컴퓨터그래픽스운용기능사(우대);;비희망;;;;;;False;True;False;False;False;True;False;False;False;True

103;"당사는 의료용 산업용 S/W를 개발하고 있습니다.
C/C++ 가능한  3년차 이상의 경력 프로그래머.
파이썬을 활용한 인공지능(비전) 모듈을 다룰 수 있는 경력자를 모집합니다. 
경력
신입 및 경력자 우대
학력
대졸
근무형태
정규직
급여
업계 평균 이상    (면접 후 결정)
근무일시
주 5일(월~금) 9:00~18:00  
근무지역
대구 본사";시스템소프트웨어개발자;;;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;True

104;"** 프로그램 개발
모집인원 : 00명
채용 직급 : 과장급이상
담당업무 : 정보시스템 개발
보유기술 : JAVA, 넥사크로, 전자정부FW, Spring Boot
자격요건 : 프로그램 개발 경험 3년 이상
---------우대조건
- 정보처리, 정보통신 등 SI 관련 자격 보유자
- 공공부문 시스템 유경험자
- 창의적이고 열정적인 분";JAVA프로그래밍언어전문가;웹개발자(웹엔지니어·웹프로그래머),모바일애플리케이션프로그래머(앱·어플개발);응용소프트웨어공학(학과:컴퓨터ㆍ소프트웨어공학부)응용소프트웨어공학(학과:소프트웨어개발전공);정보처리산업기사(우대),정보처리기사(우대);;비희망;;;표계산 (스프레드시트 활용);"정보처리기사 등 정보시스템 관련 자격자 우대
공공기관 정보시스템 구축 경험 보유자 우대";;False;True;False;False;False;False;True;False;False;False

105;"담당업무
- 이러닝 모듈 개발
- 행정 DB 설계, 구축
-  학사시스템 데이터 처리 관리 
- 근무부서 : BACKEND TEAM (AI/WEB/DB)
 자격요건
- 경력 : 신입, 경력 
- 직급/직책 : 사원, 연구원, 팀장급";웹개발자(웹엔지니어·웹프로그래머);데이터설계및프로그래머;전산학·컴퓨터공학(학과:컴퓨터공학과/소프트웨어대학)정보·통신공학(학과:데이터정보전공);정보처리기사(필수),데이터아키텍처(전문가)(우대);영어(중),중국어(하);비희망;;고용촉진장려금대상자;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:서거나걷는일거의없음듣고말하기:간단한듣고말하기필요시력:일상적인활동이가능한정도양손사용:양손으로작업;False;True;False;False;False;True;False;False;False;False

106;"담당업무
- 홈페이지 및 자사 홈페이지, 웹페이지 관리 
- 웹페이지, 디지털콘텐츠 디자인 / 퍼블리싱
- 블로그/인스타/페이스북 등 SNS 홍보 
- 온라인 바이럴 마케팅 디지안
- 근무부서 : FRONTEND TEAM (웹디자인)
 자격요건
- 경력 : 웹디자이너로서 홈페이지 개발 및 퍼블리싱 개발 경력 3년이상
- 직급/직책 : 연구원, 대리, 주임급";웹디자이너;데이터분석가(빅데이터분석가);기타디자인(학과:웹디자인학과)경영학(학과:광고마케팅학전공);웹디자인기능사(우대);영어(중),중국어(중);비희망;;고용촉진장려금대상자;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:서거나걷는일거의없음듣고말하기:간단한듣고말하기필요시력:일상적인활동이가능한정도양손사용:양손으로작업;False;False;False;False;False;False;False;False;False;False

107;"* Kotlin / Java 기반의 Android APP 개발. *
- 안드로이드 기반의  HMI를 이용하여  전기차 충전기 UI/UX 개발.
- 운영서버와의 통신 프로토콜 개발 (OCPP 1.6 전문 기반)
- 자사 및 타사 운영 서버 연동 프로토콜 개발 및 대응
- 전기차 충전기 운영 로그 관리, 진단 기능, 원격 모니터링 기능 개발
- RS-232 / RS-485 통신을 이용한 주변장치 연동. (RF Card Reader, IC Card Reader 등)
- QT 개발 경험자 우대.
- 전기차 충전기 관련 업무 경험자 우대";JAVA프로그래밍언어전문가;C언어및그외프로그래밍언어전문가,시스템소프트웨어개발자(프로그래머);;자동차운전면허(필수);;비희망;;운전면허증;문서작성 (워드프로세스 활용),프레젠테이션 프로그램 활용;;;False;False;False;False;False;True;True;False;False;False

108;"소프트웨어 개발자 모집 (3년 이상 경격자)
   * APP, C#, JSP 사용자
관련전공 우대
★ 근무지 : (본사) 경기도 광명시 소하동 SK테크노파크 
 ★ 직원복지 : 중식제공, 법인폰, 법인차량 제공, 명절선물 지급, 유니폼 지급, 자유로운 연차 사용";C언어및그외프로그래밍언어전문가;JAVA프로그래밍언어전문가;;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

109;"하드웨어 개발자 모집 
3년 이상 경격자
관련전공 우대
★ 근무지 : (본사) 경기도 광명시 소하동 SK테크노파크 
★ 직원복지 : 중식제공, 법인폰, 법인차량 제공, 명절선물 지급, 유니폼 지급, 자유로운 연차 사용";컴퓨터하드웨어기술자및연구원;JAVA프로그래밍언어전문가;;관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

110;"* 담당 업무
- 온라인 광고 시스템 관련 신규 개발 프로젝트 리딩
- 요구 분석, 시스템 설계 및 프로젝트팀 리딩
* 사용기술
- Python, Flask, Elasticsearch, Redis, Memcache, Mysql, PHP, AWS 등
* 필수 자격 요건
- 초대졸 이상
- 경력 : 개발 경력 10년 이상 책임 연구원급
- 유연하고 효과적인 커뮤니케이션 능력
- 관련 학과 전공자 또는 정보처리 기사 자격증
* 우대사항
- 개발 PL 경험자
- 다양한 개발 언어 및 개발 환경 경험 보유자
- 서비스 론칭 및 운영 경험자
* 자기소개 혹은 이력서 
- 자기소개 혹은 이력서 (경력, 진행한 프로젝트, 포트폴리오 내용 위주)
- 형식은 자유이며 이력, 경력, 기술 등 직무와 연관성이 높은 항목중심으로 작성.
- 참고할 수 있는 Github 혹은 Blog가 있으시다면 이력서 내에 같이 첨부";웹개발자(웹엔지니어·웹프로그래머);컴퓨터하드웨어기술자및연구원;;관계없음;;비희망;;;;"- 개발 PL 경험자
- 다양한 개발 언어 및 개발 환경 경험 보유자
- 서비스 론칭 및 운영 경험자";;False;False;False;False;False;True;False;False;False;True

111;"정규직 JAVA 백앤드 개발자를 채용합니다.
채용대상
- 전자정부 프래임워크 능숙자(3.1~4.1)
- SI업계 종사경력자
- 금융기관, 정부 프로젝트 경험자
- 프로젝트에 대한 책임감이 있는자
업무내용 
- JAVA 백앤드(백앤드 만 합니다.)
- ERD작성, 로직설계
- 백앤드 - 프론트앤드간 통신규격 설계
- Linux(ubuntu / centos) was 설치 및 운영
참고사항
- 도급 개발업체로 SI같은 근무방식이 아닌 내근직입니다.
- 파견은 없고  출장은 전체공정의 10~20%정도 있을수도 있고 없을수도 있습니다.(기획미팅 후 개발 미팅, 납품시 설치, AS대기 등)
- 프로젝트 진행시 기획 - 퍼블리싱 - 프론트 - 백앤드 업무를 분담해서 처리합니다.  이중 백앤드만을 담당하게됩니다.
- python, aos/ios개발자는 별도로 있기 때문에 java만 하시면 됩니다. 다른 언어를 요구하지는 않습니다.";웹개발자;;전산학·컴퓨터공학(학과:컴퓨터공학부(인터넷소프트웨어공학));관계없음;;비희망;;운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;True;True;False;False;True

112;"담당업무
- 이알피 데이타 구축 및 관리
- 네트워크장비, 회선 등 관리
- 메뉴얼 구축 (엑셀 활용도 중-상)
지원자격
-경력 : 최소 경력 5년 이상 
우대사항
- 엑셀 작업 능력 중-상 이상
- 해당 직무 근무경험
- 네트워크장비, 회선 등 정보통신에 대한 지식과 기술을 보유한 경력자
근무조건
ㆍ연봉 4000만원 이상 (임금 협의가능)
ㆍ근무시간 : 09:00~18:00
ㆍ근무지역 : 경북 영천시 천문로 752
※지원사업 신청조건 가능시 기숙사(원룸)비 지원가능";정보시스템운영자;데이터베이스운영·관리자;;관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

113;"자바개발자
자바 프로그램 개발자
응용프로그램 개발 및 운영
업무분석 및 설계(화면 및 DB)";응용소프트웨어개발자;;;정보처리기사(우대);;비희망;;;;;작업장소:실내;False;True;False;False;False;False;False;False;False;False

114;"자동화설비 설계자
AUTO CAD및 SOLID WORKS사용가능자";금속기계부품조립원;데이터설계및프로그래머;;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

115;"Node.js, JavaScript,C#, MS SQL, REST API 가능자.
4대보험, 주5일 근무, 연차, 경조휴가, 퇴직금, 각종 경조금 지원, 인센티브제, 포상휴가, (야간) 교통비/식비 별도 지급";웹개발자;;전산학·컴퓨터공학(학과:컴퓨터공학과)응용소프트웨어공학(학과:컴퓨터소프트웨어ㆍ정보통신전공);정보처리기능사(우대);;비희망;;;;;;False;False;False;False;False;True;True;True;False;False

116;"- 네트웍 & 컴퓨터 유지보수 엔지니어 모집
  1. 주요 업무
    - 네트웍 & 컴퓨터 유지보수
    - 네트웍 공사
    - 전산실 상주 기술 지원
  2. 우대사항
    - CCNA  이상 자격 보유자
    - 전산실 근무 유 경험자 
    - 정보통신 관련 자격증 소지자
    - 경력 3년 이상";네트워크관리자(클라우딩컴퓨터운영관리자);컴퓨터설치·수리원(컴퓨터A/S원),네트워크시스템개발자;;정보통신산업기사(우대)기타:정보통신경력인정자격초급이상우대;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

117;"시스템 개발 로봇 기계/제도 (3명) 신입, 경력(3년 우대)
담당업무 - 웹시스템: 웹기반 시스템 구축, 솔루션(스마트팩토리, 자동창고 등) 개발공급
               설비/로봇제어 : 기계 제도, API기반 PLC 연동개발
탄력근무제 : 08:00~10:00 출근, 1일 8시간 근무 후 (17:00~19:00) 퇴근
자격증수당 : 정보처리기사, 정보처리산업기사 자격증 보유시 수당 지급
자녀수당 : 자녀 1인당 추가 수당 지급 (양육비 지원)
연차, 반차 자율 사용, 출산휴가/ 육아휴직 지원, 근로자의날/ 창립기념일 휴무
불필요한 초과근무 지양함( 야근 필요시 석식 및 교통비 지원)
사내에 커피머신, 제빙기 등이 갖춰져 있으며, 차. 간식 등 제공";기계·금속제도사(캐드원);시스템소프트웨어개발자(프로그래머),모바일애플리케이션프로그래머(앱·어플개발);전산학·컴퓨터공학(학과:이공대컴퓨터공학전공)항공학(학과:수송기계공학전공(항공,자동차,기계분야));정보처리기사(우대),정보처리산업기사(우대);영어(중);비희망;;고용촉진장려금대상자,운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;True;False;False;False;True;False;False;False;False

118;"[장비개발] PC 기반 프로그램을 이용한 시스템 자동화 프로그램(전기 자동차 관련 및 밧데리 측정기 관련)
지원자격
ㆍ경력 : 경력 5년 이상(차장 부장급)
우대사항
ㆍ자동차 충전기 관련 업무 5년 이상
- 전기 자동차 관련 업무 5년 이상
- 시스템 설계 및 관리 업무 가능하신분
근무조건
ㆍ근무형태:정규직(수습기간)-3개월
ㆍ근무일시:주 5일(월~금) 09:30~18:30
ㆍ근무지역:(16074) 경기 의왕시 경수대로 257 대영골든밸리 603호 (주) 앤티엘";C언어및그외프로그래밍언어전문가;산업특화응용소프트웨어프로그래머(국방,항공,교통,에너지,금융,자동차등);;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

119;"● About Us:
주식회사 링거스튜디오는 ‘새로운 방식으로 가치를 더하다'라는 비전을 이루기 위해 도전하는 팀입니다. 
‘콘텐츠IP 수익 공유 플랫폼’ 링거스튜디오는 누구나 쉽게 콘텐츠IP 자산에 투자하고 거래할 수 있도록 하며, 다양한 혜택을 활용한 ‘연결(Connectivity)’을 통해 새로운 가치를 창출하는 서비스 입니다. 
음원저작권을 시작으로 다양한 분야의 콘텐츠IP로 서비스를 확대할 예정이며, 글로벌 서비스로 성장하기 위해 증권사, 콘텐츠 기획/제작사 그리고 다양한 아티스트들과 함께 도전하고 있습니다. 
[우리는 이렇게 일해요] 
• Commitment
     Commit to it together  팀의 발전과 속도를 위해 책임감을 가지고 헌신합니다.  
• Challenge
     Go beyond the impossible  가능하지만 어려운 일이 아닌, 불가능에 도전합니다.
• Respect
     We are one team  상대방의 시간도 소중히 여기며, 오픈마인드로 서로를 존중합니다.     
• Inspiration
     Get inspired from you  팀에게 영감을 주기 위해 꾸준한 자기관리와 개발에 힘씁니다.  
• Goodness
     Do the right thing, be kind  항상 옳은 일을 행하며, 누구에게나 친절하게 행동합니다.  
• Essence
     Focus on the point  업무의 본질을 파악하고, 우선순위에 집중하여 단순하게 해결해 갑니다.
[이런 동료와 함께 일하고 싶어요]
• 자기주도적 문제 찾기와 문제 해결이 가능하신 분 
• 책임감 있는 업무 리딩이 가능하며 직업 윤리 의식이 있으신 분
• 함께 일하는 동료를 존중하고 신뢰하며 적극적인 커뮤니케이션을 하려고 노력하는 분
• 긍정적인 에너지와 열정으로 팀 분위기에 좋은 영향을 주실 수 있는 분
• 음악을 좋아하고 NFT, 블록체인, 메타버스 등의 영역에 관심과 경험이 있으신 분
• 서비스를 함께 만들어 나가는 과정을 즐길 수 있고 협업에 능한 분
• 직업 윤리 의식과 신뢰감이 높으신 분
● Location: 서울특별시 종로구 효자로15 코오롱빌딩 3층 
● Terms: 정규직
● Report to:  Project Manager (Team Leader)
● Responsibilities:
‘링거스튜디오' 의  백엔드 서비스를 담당합니다.
백엔드 서비스는 Kotlin을 주로 사용중이며 Spring, Ktor, Nest 등의 프레임워크를 활용하여 개발되었습니다.
scalability, maintainability, flexibility를 고려한 시스템 설계합니다.
트래픽에 따른 유연한 scale up/out 정책 수립 및 작업합니다.
서비스 요구사항을 분석하고 완성도 높은 서비스를 만들기위한 커뮤니케이션을 진행합니다.
효과적인 작업을 위한 운영환경에 대해 함께 고민하고 구축합니다.
● Required skills:
Spring Framework를 사용한 서비스 개발 경험 3년 이상
관계형 데이터베이스 설계 역량
기능정의서를 빠르게 이해하고 개발 할 수 있는 역량
서비스 퀄리티 향상을 위한 방안을 팀원과 끊임없이 고민하고 함께 성장하려는 자세
● Preferred skills:
CI/CD 구축 및 파이프라인 작업 경험
messaging system(kafka, amazon sqs 등) 작업 경험
JPA (ORM)에 대한 이해와 서비스 개발 경험
AWS 클라우드 환경에서 운영 경험
서비스 인스턴스 모니터링 시스템 운영 경험
● Recruitment process:
자유 양식 이력서(국문) 제출
1차 서류전형 > 2차 인터뷰(담당 업무 및 성과 위주) > 3차 인터뷰(캐주얼 미팅) > 경력검증서류 제출 및 심사 > 결과 통보";시스템소프트웨어개발자;;;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

120;"[ 업무내용 ]
 · 서버관리 및 DB(MS-SQL, My-SQL) 설계
 · APM 환경 개발
 · JSP서버 및 DBMS
 · 개발 문서 및 APi 문서 작성
 · 사내/외주 프로젝트 지원 및 개발 협업
 · JSP, PHP 중 선택 가능
 · 자료 구조, 알고리즘
사용하는 주요 언어 프레임워크
 · 백엔드 : Java , PHP
 · 프론트엔드 : jsp , php
[ 지원자격 ]
 · 전략, 기획, 디자인 파트와 유기적으로 소통하며 개발 구현
 · Git을 이용한 버전 관리 및 협업에 대한 경험이 있으신 분
 · AWS, Linux(Centos) 환경에서 개발 및 운영 경험이 있으신 분
 · Java, Spring Framework, APM(Apache , php , mysql) 기반 서버 개발 가능
 · Ajax, Jquery 개발 경험
 · DB설계 경험 (MS-SQL, My-SQL)
[ 우대사항 ]
 · 실제 시장에 런칭한 앱서비스 개발 경험
 · 플랫폼에 대한 이해
 · 개발/코딩 관련 대회 수상 경험
 · 정보처리기사 자격증 보유
[ 혜택 및 복지 ]
 · 4대보험 : 국민연금, 건강보험, 고용보험, 산재보험
 · 휴무/휴가 : 생일포상휴가, 2년이상 재직시 연차별 포상휴가 추가제공
 · 생활편의 : 자유복장, 회식/야근강요 X, 직원휴게실(간식/음료등) 구비, 정시퇴근권장.
 · 교육지원 :  워크샵, 직무능력향상교육, 도서구입비
[ 근무조건 ]
 · 연봉 : 4,000만원 ~ 6,000만원
 · 근무형태 : 정규직(수습 3개월 후 정규직 전환), 계약직 선택 가능
 · 근무시간 : 주 5일(월~금) 09:00~18:00 (점심시간 12:30~13:30)
[ 채용절차 ]
 · 서류전형 -> 화상 or 대면면접(실무테스트) -> 1차 실무진 면접 -> 2차 경영진 면접 -> 최종합격
 · 채용관련 구비서류(각종 증명서, 자격증 등)는 면접 시 제출하며, 
   지원서의 기재내용과 다를 경우 합격이 취소될 수 있습니다.
 · 최종합격하더라도 서류상 허위사실 및 결격사유가 있는 경우에는 합격이 취소될 수 있습니다.
[ 제출서류 ]
 · 우리요 자사 이력서(http://wooriyo.com/에서 다운 가능)
 · 경력기술서(자신의 기술능력을 보여줄 수 있는 프로젝트, 협력했던 활동사항 위주로 작성)
   - 기간, 주요 업무 내용, 본인이 기여한 기술, 기여도, 성과 등
[ 주의사항 ]
 · 본사 위치 : 전라북도 전주(지역확인 필수)
 · 경력(3년이상)
▼ 서버개발자 채용공고 유튜브 영상으로 상세하게 확인하실 수 있습니다.
https://youtu.be/1JdAvWM5f1g
▼ 우리요 채용에 관한 내용은 유튜브 영상으로 확인하실 수 있습니다.
https://youtu.be/zEkf-qT3JtQ
(▼ 채용공고 상세내용은 아래 사이트에서 확인해주시면 감사하겠습니다.)
http://www.wooriyo.com/career.html";데이터전문가;데이터설계및프로그래머;전산학·컴퓨터공학(학과:컴퓨터공학과)응용소프트웨어공학(학과:응용소프트웨어과학전공);정보처리기사(우대);;비희망;;;기타(컴퓨터활용능력 우수자);"· 창의적인 아이디어, 능동적인 사고를 가진 분, 성실하고 긍정적인 성격
· IT 혹은 ICT 관련기업에서의 관련 업무 경험이 있으셨던 분
· 협업에 따른 커뮤니케이션에 문제가 없는 자
· 관련학과 전공, 관련 자격증 보유, 학접우수, 인근거주자, 즉시출근가능자";;False;True;False;False;False;True;True;False;True;False

121;"- 압력용기 설계 가능한 자 모집
- Air Dryer, Air Filter 등 압력용기 설계 가능자 우대 
- 프로젝트 승인서류 제작 가능자 우대
경력자 우대
- 중식제공";데이터설계및프로그래머;;;관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

122;"쇼핑몰 관리,기획,운영
SNS,블로그 운영 및 기획
유입 데이터 분석 및 애널리틱스 
온라인광고
신규 브랜드 상품기획부터 런칭, 운영
브랜드마케팅, 온라인쇼핑몰(카페24, 스마트스토어 등) 운영  
이벤트 기획 및 원고 카피라이팅
[캐릭터유통·서비스 > 캐릭터 상품 유통시장 분석(라이선서)]
캐릭터 상품 소비자 분석하기,캐릭터 상품 시장 분석하기,캐릭터 유통 시장 분석하기,캐릭터 산업정책 분석하기
[캐릭터유통·서비스 > 캐릭터 상품 유통 마케팅(라이선시)]
캐릭터 상품 광고매체 선정하기,캐릭터 상품 홍보물 제작 진행하기,캐릭터 상품 프로모션 진행하기
[스마트문화앱콘텐츠유통·서비스 > 스마트문화앱콘텐츠 유통·서비스 전략 기획]
환경 분석하기,기술 동향 분석하기,기업내부 유통·서비스 역량 분석하기,서비스 전략 기획하기
[스마트문화앱콘텐츠유통·서비스 > 스마트문화앱콘텐츠 마케팅 기획]
앱 상용화 모델 기획하기,앱 수익 모델 기획하기,앱 유통 계획 수립하기,마케팅 채널 전략 수립하기
[스마트문화앱콘텐츠유통·서비스 > 스마트문화앱콘텐츠 유통채널 관리]
앱 유통채널 분석하기,앱 유통채널 선정하기,앱 유통채널 관리하기";머천다이저(MD);웹기획자;;관계없음;;비희망;;고용촉진장려금대상자;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;False;False;False;False;False

123;"| 담당업무
ㆍ대내/외 고객사 SI/SM 프로젝트 매니저(PM) - 컨설팅, 프로젝트 일정 관리
ㆍe-Biz 업무에 대한 이해를 바탕으로 웹서비스/웹시스템 기획 및 설계
ㆍ고객과 개발자들이 이해할 수 있는 요구사항 도출 및 프로젝트 진행
ㆍ프로젝트 전반에 걸친 공정상의 주요업무를 주도적으로 리딩
| 필요스킬
ㆍFigma, 워드, PowerPoint, GitHub, Sketch, UI, UX, 한컴, Wireframe
| 핵심역량
ㆍ 계획성, 성실성, 성취지향성, 꼼꼼함, 창의성, 자존감, 적응성, 성장지향성
| 자격요건
ㆍ학력 : 학력무관
ㆍ경력 : 프로젝트 실무수행(최소) 5년 이상, PM 경험 (최소) 3년 이상
| 우대사항
ㆍ컴퓨터활용능력 우수자
ㆍ엑셀 고급능력 보유자
ㆍ문서작성 우수자
ㆍ프리젠테이션 능력우수자
ㆍ리더쉽 소유자
ㆍ유관업무 경력자 (5년이상)
| 복리후생 
ㆍ4대보험, 연차지급
ㆍ명절 상여금 지급
ㆍ성과에 따른 성과급 지급
ㆍ식사 및 간식 제공
ㆍ쾌적한 근무환경
| 첨부서류
ㆍ입사지원시 구체적인 경력 기술과 포트폴리오 첨부를 해주시기 바랍니다";웹개발자(웹엔지니어·웹프로그래머);웹기획자;;정보처리기사(우대),웹디자인기능사(우대);;비희망;;고용촉진장려금대상자,보훈취업지원대상자;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용,기타 (Figma, GitHub, Sketch, UI, UX, Wireframe);"ㆍ컴퓨터활용능력 우수자
ㆍ엑셀 고급능력 보유자
ㆍ문서작성 우수자
ㆍ프리젠테이션 능력우수자
ㆍ리더쉽 소유자
ㆍ유관업무 경력자 (5년이상)";;False;True;False;False;False;True;False;False;False;False

124;"[직무내용]
당사는  LED DISPLAY 솔루션을 제조 및 설치 업체로서  금번 사업 확장을 통하여 인터넷 쇼핑몰을 구축하고자 합니다.
LED 관련 솔루션의 확장에 맞추어 LED 라이팅 제품에 대한 인터넷 쇼핑몰을 구축하고 판매 유통을 담당할 인재를 모십니다.
. 인터넷 쇼핑몰 개발자
. 쇼핑몰 MD
. 쿠팡, 네이버, SSG 등 다양한 온라인 커머스 사이트 상품 등록 및 관리. 
[채용우대]
. 개발부문 :  인터넷 쇼핑몰 구축 실무 경력 5년 이상 
. 쇼핑몰 MD : LED 가든 조명, LED 라이팅 , 조경 관련 용품 판매 관리 경력자 우대
. 상품 등록 관리 : 커머스 사이트 상품 등록 관리 경력자 우대
[채용특별 우대]
' 중국어 가능자 특별 우대 채용 [ 중국내 대학 졸업 우대]";웹개발자(웹엔지니어·웹프로그래머);웹운영자(홈페이지관리자),조경기술자;조경학(학과:원예·조경학부(조경학전공))전산학·컴퓨터공학(학과:웹마스터전공);웹디자인기능사(우대),전자상거래관리사2급(우대)기타:정보통신관련기사;중국어(중),영어(중);비희망;;;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;False;False;False;False;False

125;"- 전광판 구동 프로그램 개발
- LED전광판 응용 소프트웨어 개발
- 프로그래밍 언어-C/C++, C#, 자바스크립트(JavaScript), 자바(Java), PHP, 파이선(Python)
- 통합 개발환경-비쥬얼 스튜디오 커뮤니티 버전(C/C++,C#),QT 프레임 워크,QT 크리에이터,안드로이드 스튜디어등";C언어및그외프로그래밍언어전문가;;전자공학(학과:전기전자공학계열);정보처리기사(우대)기타:관련학과전공자우대;;비희망;;;;;;False;True;False;False;False;True;True;True;False;True

126;"ㆍ사업 수행 및 정보통신공사 공무업무
■ 담당업무 : 
1. 자사 솔루션(M2M 기반 지능형 함체 운영관리 시스템, LoRa 무선통신 시스템 등) 구축 및 정보통신 공사
2. 정보통신공사 설계 및 제반사항
3. 정보통신공사 공무 및 현장 관리 감독
4. 현장 작업 관련 서류 작성 및 관리
■ 우대사항 : 관급 또는 도급 공사 유경험자, 문서작성 우수자, 차량소지자, 운전가능자 
■ 관련전공 : 無
■ 근무조건 :
1. 근무 시간 : 09:00 ~ 18:00 (평일/주5일)
2. 근무 조건 : 면접 후 협의 
3. 근무장소 : 전북 전주시 완산구 바우배기2길 23, 이지빌딩 3층 (주)첫눈
4. 고용형태 : 정규직
5. 복리후생 : 4대보험, 퇴직연금, 상여금, 성과금, 생일자 상품권 지급, 명절상여 및 선물, 경조사 지원, 청년 소득세 감면 신청 및 내일채움공제 가입 가능.";IT기술지원전문가;기타정보통신기기설치·수리원;전산학·컴퓨터공학(학과:정보통신공학부컴퓨터공학전공);자동차운전면허(필수);;비희망;;차량소지자,운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;False;False;False;False;False

127;"1. 모집분야 및 자격요건
============================================================
                           │  [ 주요 수행업무 ]
                           │    1) 임베디드 시스템 소프트웨어 개발
                           │    2) 임베디드 리눅스 커널 포팅 / 디버깅
                           │    3) Linux QT 개발 
     S/W 개발       │
  (임베디드 1명)  │  [ 필요조건 ] 
                           │    1) 학력 : 대졸 이상
                           │    2) 경력 : 3년 이상
                           │    3) 공학 계열 혹은 관련 전공자
                           │    4) Linux 기반 GUI Tool 개발 경력자
                           │
                           │   [ 우대사항 ]
                           │      - 의료기기 S/W 개발 경험
                           │  
============================================================
2. 근무 환경
   1) 급여 : 면접 후 결정 
   2) 근무지역 : 강원도 원주시 지정면 기업도시로 200, 의료기기종합지원센터 704호
   3) 근무시간 : 월요일 ~ 금요일 / 09:00 ~ 18:00 (식사시간 포함)
3. 전형 절차
   : 서류 전형 -> 1차 면접 -> 2차 면접 -> 최종 합격
    ( 면접 일정은 추후 통보됩니다.)
4. 유의사항
  : 허위 사실이 발견될 경우 채용이 취소될 수 있습니다.";펌웨어및임베디드소프트웨어프로그래머;;전자공학(학과:전기전자공학전공)전산학·컴퓨터공학(학과:컴퓨터공학계열);관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

128;자동화 시스템 설계 및 개발;C언어및그외프로그래밍언어전문가;응용소프트웨어개발자;;관계없음;;비희망;;;;자동화 시스템 설계 및 개발 유경험자 우대;;False;False;False;False;False;False;False;False;False;False

129;"- 자사 솔루션 개발
- 자사 솔루션 패치 및 유지관리
- SI 개발
- 회사 기타 업무 지원
*수습기간 3개월 적용(급여의 90%지급)";응용소프트웨어개발자;시스템소프트웨어개발자,웹개발자;;정보처리기사(우대),자동차운전면허(우대);;비희망;;;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;"- 컴퓨터관련 전공자 우대  
- JAVA, PHP 가능자 우대 
- 컴퓨터관련 자격증 소지자 우대
- 각종 개발 언어 및 서버 관련 경력자 우대
- 각종 개발 언어 및 서버 관련 자격 소지자 우대";;False;True;False;False;False;False;False;False;False;False

130;"[회사 소개]
(주)엘앤에이치랩스는 심장 재활 분야의 디지털 치료제 개발을 목표로 하며, 환자들의 건강 회복을 도와주는 앱을 만들어, 심장 재활 관련 서비스의 질을 높이려고 노력하고 있습니다. 현재 개발자 4명, 디자이너 1명, 인증관리 전문가 1명으로 구성된 저희 팀은 앱 개발 및 기획을 총괄하는 기획자를 찾고 있습니다.
[채용 포지션]
앱 개발 및 기획 책임자
[주요 업무]
- Android와 iOS 앱 개발 전략 수립 및 관리
- Native 또는 Hybrid 앱 개발 지표 설정 및 개발 관리
- 앱 개발 프로젝트의 전체적인 관리 및 팀 협업 지원
- 개발 프로세스 최적화 및 개선 제안
- 전반적인 APP / SW 개발 기획 및 전략 수립
[자격 요건]
